dnaSampleID	genomicsSampleID	site	year	month	collection_date	R1	R2	habitatType	aquMicrobeType	substratumSizeClass	sampleMaterial	sampleTotalReadNumber	sampleFilteredReadNumber	sequencerRunID	instrument_model	qaqcStatus_dna	qaqcStatus_seq
MART.20220713.EPILITHON.2.DNA-DNA1	MART.20220713.EPILITHON.2.DNA	MART	2022	7	2022-07	MART_2022-07_2_R1.fastq.gz	MART_2022-07_2_R2.fastq.gz	riffle	epilithon	cobble	biofilm	41040980	32366488	HTLW3DSX7_PoolD	Illumina NovaSeq 6000	Pass	Pass
MART.20220713.EPILITHON.5.DNA-DNA1	MART.20220713.EPILITHON.5.DNA	MART	2022	7	2022-07	MART_2022-07_5_R1.fastq.gz	MART_2022-07_5_R2.fastq.gz	riffle	epilithon	cobble	biofilm	47476450	38456306	HTLW3DSX7_PoolD	Illumina NovaSeq 6000	Pass	Pass
MART.20220713.EPILITHON.1.DNA-DNA1	MART.20220713.EPILITHON.1.DNA	MART	2022	7	2022-07	MART_2022-07_1_R1.fastq.gz	MART_2022-07_1_R2.fastq.gz	pool	epilithon	cobble	biofilm	49654094	38818479	HTLW3DSX7_PoolD	Illumina NovaSeq 6000	Pass	Pass
MART.20230725.EPILITHON.8.DNA-DNA1	MART.20230725.EPILITHON.8.DNA	MART	2023	7	2023-07	MART_2023-07_1_R1.fastq.gz	MART_2023-07_1_R2.fastq.gz	riffle	epilithon	cobble	biofilm	501532240	397624550	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
MART.20230725.EPILITHON.3.DNA-DNA1	MART.20230725.EPILITHON.3.DNA	MART	2023	7	2023-07	MART_2023-07_2_R1.fastq.gz	MART_2023-07_2_R2.fastq.gz	riffle	epilithon	cobble	biofilm	544603706	417312752	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
MART.20230725.EPILITHON.7.DNA-DNA1	MART.20230725.EPILITHON.7.DNA	MART	2023	7	2023-07	MART_2023-07_7_R1.fastq.gz	MART_2023-07_7_R2.fastq.gz	pool	epilithon	cobble	biofilm	429004318	338121956	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
MART.20230725.EPILITHON.5.DNA-DNA1	MART.20230725.EPILITHON.5.DNA	MART	2023	7	2023-07	MART_2023-07_4_R1.fastq.gz	MART_2023-07_4_R2.fastq.gz	pool	epilithon	cobble	biofilm	258511588	206829988	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
MART.20230725.EPILITHON.1.DNA-DNA1	MART.20230725.EPILITHON.1.DNA	MART	2023	7	2023-07	MART_2023-07_5_R1.fastq.gz	MART_2023-07_5_R2.fastq.gz	riffle	epilithon	cobble	biofilm	533260860	426537500	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
MART.20230725.EPILITHON.2.DNA-DNA1	MART.20230725.EPILITHON.2.DNA	MART	2023	7	2023-07	MART_2023-07_3_R1.fastq.gz	MART_2023-07_3_R2.fastq.gz	pool	epilithon	cobble	biofilm	587944214	447541354	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
MART.20230725.EPILITHON.4.DNA-DNA1	MART.20230725.EPILITHON.4.DNA	MART	2023	7	2023-07	MART_2023-07_8_R1.fastq.gz	MART_2023-07_8_R2.fastq.gz	riffle	epilithon	cobble	biofilm	477947530	389744696	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
MART.20230725.EPILITHON.6.DNA-DNA1	MART.20230725.EPILITHON.6.DNA	MART	2023	7	2023-07	MART_2023-07_6_R1.fastq.gz	MART_2023-07_6_R2.fastq.gz	riffle	epilithon	cobble	biofilm	480225226	385487108	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
